heist_label,address,status,visited_address_count,tracked_edge_count,layer_address_count,matched_service_provider_edges,unique_service_providers,max_depth,max_addresses_per_layer,crawl_missing,edges_file,layers_file,summary_file,service_file,error
Heist 1 (0x70dcf3...32c8a0),0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,success,2,620,3,85,2,1,1,False,D:\EthereumHeist_System\results\tracking\70dcf33ca09bd87bb2a301280331406ebd32c8a0_multihop_edges.csv,D:\EthereumHeist_System\results\tracking\70dcf33ca09bd87bb2a301280331406ebd32c8a0_multihop_layers.csv,D:\EthereumHeist_System\results\tracking\70dcf33ca09bd87bb2a301280331406ebd32c8a0_multihop_summary.json,D:\EthereumHeist_System\results\tracking\70dcf33ca09bd87bb2a301280331406ebd32c8a0_multihop_edges_service_enriched.csv,
0xhabitat.eth Multisig Drainer,0x26a76f4fe7a21160274d060acb209f515f35429c,success,2,1518,3,1439,13,1,1,False,D:\EthereumHeist_System\results\tracking\26a76f4fe7a21160274d060acb209f515f35429c_multihop_edges.csv,D:\EthereumHeist_System\results\tracking\26a76f4fe7a21160274d060acb209f515f35429c_multihop_layers.csv,D:\EthereumHeist_System\results\tracking\26a76f4fe7a21160274d060acb209f515f35429c_multihop_summary.json,D:\EthereumHeist_System\results\tracking\26a76f4fe7a21160274d060acb209f515f35429c_multihop_edges_service_enriched.csv,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,success,2,950,3,37,1,1,1,False,D:\EthereumHeist_System\results\tracking\56eb4a5f64fa21e13548b95109f42fa08a644628_multihop_edges.csv,D:\EthereumHeist_System\results\tracking\56eb4a5f64fa21e13548b95109f42fa08a644628_multihop_layers.csv,D:\EthereumHeist_System\results\tracking\56eb4a5f64fa21e13548b95109f42fa08a644628_multihop_summary.json,D:\EthereumHeist_System\results\tracking\56eb4a5f64fa21e13548b95109f42fa08a644628_multihop_edges_service_enriched.csv,
