source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress,source_layer,source_clean,target_clean,is_service_provider,service_matched_side,service_provider_name,service_provider_category,service_provider_source,service_provider_note
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,54836989.36,0x7d98adfb32a9f205ae30524806876d290ac794de0b9ab4424b1d45ea5288f139,1607675196,candidate_layering,KEY,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,1000.0,0xa2198b873b4544dd3eb7f473a0a8a68950ca0f04484ac89cb652b17fcad8aa88,1608104038,candidate_layering,EGT,0x8e1b448ec7adfc7fa35fc2e885678bd323176e34,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,1000.0,0x70732b6b2d5a624cae08ef03787aadb9c528b79c1ed07d28f8bbec00ad9a0903,1608104120,candidate_layering,DATx,0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,101894188.673,0x94349b29f462c917fd6173d1694cb29144193529bbaf903bf9ac56f70cc8c9bb,1608104366,candidate_layering,EGT,0x8e1b448ec7adfc7fa35fc2e885678bd323176e34,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,105788208.108,0xd21e33456ebfb10ae124463e5065bb704fe2e656ce5ee95ece580255d0855240,1608104446,candidate_layering,DATx,0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,1197538.303,0xad71fe29b126e6928c5209d3602bce0f6544d68e1fdf3e88d83d0ee6bb495985,1608129448,candidate_layering,VID,0x2c9023bbc572ff8dc1228c7858a280046ea8c9e5,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,7592211.08,0x639fc17e0a4b6cf97a2e83d6c6abb79e6eeed6de41f5721e3c5ed5c21e573541,1608279420,candidate_layering,CAN,0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,erc20,39753703.98,0xbf056dbab2915c42df790e01256b9e6d2bc6d7a98f04f388312d97b985bcd3d1,1608299905,candidate_layering,PLAY,0xe477292f1b3268687a29376116b0ed27a9c76170,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x6e875aa2458eecf978dc826c72804eeed4aeb456,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x371ba8bac8c0f18c60fd64b7b92ac3d9c5f2d712,erc20,533547.35199999,0x69690ba748d83a0557c69833c2fb2402b0eda7278bacad91cf52d02c49ff8be0,1608710523,candidate_layering,TFL,0xa7f976c360ebbed4465c2855684d1aae5271efa9,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x371ba8bac8c0f18c60fd64b7b92ac3d9c5f2d712,False,none,,,,
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x31de722ba4c157ba5def5587392b00f305763757,erc20,20025143.425000004,0xed71b90532163678fa2ab4d934e46ab6a72680d5548667afe1bd983d54edf4e7,1609161777,candidate_layering,OLT,0x64a60493d888728cf42616e034a0dfeae38efcf0,0,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x31de722ba4c157ba5def5587392b00f305763757,False,none,,,,
