address,layer,role
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0,placement
0xc6f928cf9431b82c8c9a10fe954df44e66cbed1c,1,candidate_layering
0xdf092101010766234f7d261a75de94235270138e,2,candidate_layering
