source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress,source_layer,source_clean,target_clean,is_service_provider,service_matched_side,service_provider_name,service_provider_category,service_provider_source,service_provider_note
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x6a86442a9df14051ea9e2f7230a70fb2b1809f2a,normal_eth,0.062900000001,0x2f832e3dede55183cace66bdfb0e201fa3e748ab87a78bbcc0a8c9ea6ad0d617,1628843068,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x6a86442a9df14051ea9e2f7230a70fb2b1809f2a,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x84af25e45dce0c5e974cfb442c49a3f18d61b1fd,normal_eth,0.2866076871517868,0x1fa6d466f8bc4060ba996b3227a6e59685e8c88b9356840beada101c77ad136b,1628896529,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x84af25e45dce0c5e974cfb442c49a3f18d61b1fd,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x4f9501a24dc73b20303dc9937f2544eef044cffa,normal_eth,0.5697971158567263,0x4ea989a5f946c9b9352435825bffac2a69d5395c3e959274c4273d25d65b1d0a,1628896643,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x4f9501a24dc73b20303dc9937f2544eef044cffa,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x909a9043ace95c0154db3360ce002c27b8b06d3b,normal_eth,0.07,0xf775844b5fd02fc03ddf51e4f14af54721dd96dcc0ca6a9d475e41fbcbfd110b,1628897096,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x909a9043ace95c0154db3360ce002c27b8b06d3b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0x26a9c4ae36ef8dcb8b5a3d76844cd38a116223c168214c3fbf6ac1c50e2f28f9,1628950322,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x895d18f8ed1c233a47a39cdf4451bbc6f4190b62,normal_eth,0.02,0x2ff40a946688dd665f4af0f6411b94f26462fba99b53b2341b642d166592c821,1628962727,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x895d18f8ed1c233a47a39cdf4451bbc6f4190b62,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x3f4a885ed8d9cdf10f3349357e3b243f3695b24a,normal_eth,0.085,0xde78847e90e8b748490ee98ec423ddb6d06b2996b919a59748ab286eac3a79ea,1628976779,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x3f4a885ed8d9cdf10f3349357e3b243f3695b24a,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,normal_eth,0.104,0xa1710c90a4a5275979d167753e3c2957d40b580f9864586ae614d5600d200185,1628989548,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x8184a482a5038b124d933b779e0ea6e0fb72f54e,normal_eth,0.08,0x4b8d3c1da63245db92aaac250a1c0e35bb39e7f8f27258ef9751e9b0e8c5fed0,1629044483,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x8184a482a5038b124d933b779e0ea6e0fb72f54e,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,normal_eth,0.275,0x084cb4ca3eac02981f2db109466a6f3a49109070954998d85b1a61380c47a06e,1629055888,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x686925ac7257a4aa5232cbfc7281e6ef8bfda942,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xa7e43a08cb3af445e0df22aa7cc0d68f17703d10,normal_eth,0.02331,0x932ff98ec548d5b2935dcc70dbe063135e1a514d83b3c4b51d0aa3b0907143f2,1629062238,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xa7e43a08cb3af445e0df22aa7cc0d68f17703d10,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.2099,0x34ef78fd7ac877759b4e524f17e1e99d1d0d285a52ec3f52c1eee2007fef8be7,1629070407,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.18,0xda5216bbf3bc62e69ef591604b18ac999847387cd80ba321de25222b8f4b7f81,1629071715,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2d14040b89c274929ff266ad5b08cb43200b22ed,normal_eth,0.065,0x87dacbae47eaf0c37dc9cbe8707d8814c0f05cc6633d400634de485e80a4afc2,1629216355,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2d14040b89c274929ff266ad5b08cb43200b22ed,False,none,,,,
