source,target,transaction_type,amount,tokenSymbol,contractAddress,hash,timeStamp,label,source_layer
0xb1302743acf31f567e9020810523f5030942e211,0x07002d0212e3d40a6e17773460579d694100b7f4,erc20,97.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x65026845a508a422c0b014dfeadb85f5aa068f92bd997fbe294b54f4117e59d9,1656054666,candidate_layering,0
0xb1302743acf31f567e9020810523f5030942e211,0x07002d0212e3d40a6e17773460579d694100b7f4,erc20,1000.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x25fde2dee7e464def4e0cbac95a77ccce1d1663c674ff49c7d422faeb3218dc7,1656057081,candidate_layering,0
0xb1302743acf31f567e9020810523f5030942e211,0x0d195363672247fa0f2184f84617fd2108bb2bbb,erc20,2500.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x61f915e97ea5f461aaf8376d8569e4b526aa63ccc6433b3b005390137df1030f,1677906551,candidate_layering,0
0xb1302743acf31f567e9020810523f5030942e211,0x0d195363672247fa0f2184f84617fd2108bb2bbb,erc20,3000.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6d78fac5d2428513f2088e99343a55c8c56931fc8af95b4f8e940d6c27372a51,1680922715,candidate_layering,0
0xb1302743acf31f567e9020810523f5030942e211,0x59fde87a413e9b1c06f35653bf08b7b0f88201ed,erc20,3000.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x68878e9e20a01fd3aa45573d38f86888d1168ff517ff7e04827b0dca08affaa0,1683312035,candidate_layering,0
0xb1302743acf31f567e9020810523f5030942e211,0x2166b5026ad3b5416191f376f8d41743362cd91e,erc20,4000.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0b4bd05ca561d3b6d06b4e79589aa4af631f7aca6320ed4fad68ce565a5fd8ff,1689461183,candidate_layering,0
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x98a984972b50f7a95b642fa739ecbb3da702c167a915b2c493ae454e73c78bee,1656055795,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x27d429a62c426c15a5dcb45449bfee0df503deb0d3d31d69cfac9b02d063b026,1656055838,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xd025734b641a350f45ccf340c3bdffd9a36ecec855faa51c68e6e83711afcf0f,1656056418,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xe69054b163ebf5ab5c65b2d80f60d88806d3444a42dcd048e87639155e0cc8a4,1656056425,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xfbcab74a820a31ee04b6efd377725c536d657e895cf9adddd1f539e95490443f,1656056487,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xc80ff6d3030c0d3474c32d610a3fa0cf202daea3751e5c8a7c2209fde128c383,1656056530,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xd744efe61ceb4483d8165d426e64f615881a6a3329e3c28d8cb9446240a221cf,1656056595,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x2361aeca5b19daf4a8b665d8a50e52fe6d51c853df31cdb06bf19a1ccdbfbb4b,1656056632,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xa3468de69d388888aaa2171b49c2c55339e74674aa048d52d9c86429b148f625,1656056690,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xf7c14fff34e7ba2934f17fad59e6e5352e1b5e319dfc61f0e9f45a0d337a3077,1656056722,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xa4af44aabe76699044296b30f3dc4580898c880e7ad7359619193d8cb9d2a7da,1656056770,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x8bfe2138544a76e33cc1d25190952e31d03f03f91f2d1f3984d19433f865be68,1656056800,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x7d019193de195bafbfa0510eb7a8565b9bf6c1e387f019d67ff90565a0957797,1656056836,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xfc832a4f4d22b369f115ca27d421d633801b818903350e2881f024e09edcc3be,1656056883,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xd8951bc53167235f56e530d1925e3f4b552afb0e9f6daa61f27dcd2cec64c1e7,1656056969,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0xea66ddaf1ca7b17a294a68fefa0159781267ee7db70c8c32390aa85ebfa38d99,1656057016,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x252e6ff3d19346e076b41a33a7704ead5e0f1b8064dd6080a50d60b524288714,1656057065,candidate_layering,1
0x07002d0212e3d40a6e17773460579d694100b7f4,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,normal_eth,1.0,,,0x4facd57172dff1e8aeed072870bf051fe828a013058c31dc2234d6c66e73ffa5,1656057081,candidate_layering,1
